timestamp,boat_id,team_name,leg_id,leg_mode,speed_knots,vmg,true_wind_speed,true_wind_angle,true_wind_direction,gust_knots,heading,heel_angle,foil_cant,x_position,y_position,maneuver_type,course_side,sea_state
2026-05-21 10:31:56,Boat-1,Apex Wave Racing,1,Upwind,24.655,16.693,13.602,-47.384,219.645,14.625,0.231,15.998,79.474,12.415,-6.184,none,port,1.775
2026-05-21 10:31:56,Boat-2,Harbor Velocity Team,1,Upwind,25.035,17.03,13.659,-47.136,220.206,14.122,359.871,18.378,81.631,28.914,-0.355,none,port,1.792
2026-05-21 10:31:56,Boat-3,Northern Reach Sailing,1,Upwind,21.794,16.565,13.098,40.529,216.88,14.657,11.594,20.986,78.977,48.226,-0.61,none,starboard,1.834
2026-05-21 10:31:56,Boat-4,Blue Horizon GP,1,Upwind,23.126,17.717,13.627,39.996,217.779,14.742,4.254,19.2,80.194,73.733,-2.617,none,starboard,1.893
2026-05-21 10:31:56,Boat-5,Straitline Performance,1,Upwind,22.557,13.615,13.742,52.872,219.496,14.102,10.744,13.595,66.368,-39.851,-2.382,none,starboard,1.836
2026-05-21 10:31:58,Boat-1,Apex Wave Racing,1,Upwind,24.197,16.975,13.923,-45.45,218.117,15.303,0.345,18.011,73.813,12.544,25.852,none,port,1.953
2026-05-21 10:31:58,Boat-2,Harbor Velocity Team,1,Upwind,23.456,17.269,13.73,-42.591,218.228,16.221,359.869,17.496,77.744,28.877,16.193,none,port,1.909
2026-05-21 10:31:58,Boat-3,Northern Reach Sailing,1,Upwind,21.444,15.622,14.346,43.24,220.199,15.628,12.016,20.516,78.281,50.445,10.206,none,starboard,1.822
2026-05-21 10:31:58,Boat-4,Blue Horizon GP,1,Upwind,22.514,16.758,13.57,41.898,217.664,15.684,8.96,18.048,78.953,76.855,39.357,none,starboard,1.869
2026-05-21 10:31:58,Boat-5,Straitline Performance,1,Upwind,22.92,14.827,14.089,49.693,218.808,15.487,10.803,14.953,65.459,-36.703,14.208,none,starboard,1.864
2026-05-21 10:32:00,Boat-1,Apex Wave Racing,1,Upwind,24.367,16.915,12.773,-46.039,219.378,13.503,0.325,14.891,74.7,12.672,36.528,none,port,1.842
2026-05-21 10:32:00,Boat-2,Harbor Velocity Team,1,Upwind,23.198,17.279,13.039,-41.857,217.105,13.14,359.81,17.161,78.299,28.822,40.018,none,port,1.85
2026-05-21 10:32:00,Boat-3,Northern Reach Sailing,1,Upwind,21.873,16.962,12.85,39.153,217.991,14.352,4.55,19.635,80.555,52.669,20.267,none,starboard,1.822
2026-05-21 10:32:00,Boat-4,Blue Horizon GP,1,Upwind,23.019,16.106,13.129,45.599,219.073,13.543,30.863,17.616,78.367,79.959,36.874,none,starboard,1.787
2026-05-21 10:32:00,Boat-5,Straitline Performance,1,Upwind,22.778,16.062,12.807,45.159,219.413,14.106,7.937,15.382,64.141,-33.571,30.529,none,starboard,1.82
2026-05-21 10:32:02,Boat-1,Apex Wave Racing,1,Upwind,24.091,16.34,12.954,-47.292,221.333,15.45,0.348,13.692,77.294,12.792,69.617,none,port,1.903
2026-05-21 10:32:02,Boat-2,Harbor Velocity Team,1,Upwind,23.232,17.146,13.155,-42.437,219.467,15.276,359.599,17.696,77.624,28.747,55.65,none,port,1.83
