timestamp,boat_id,team_name,leg_id,leg_mode,speed_knots,vmg,true_wind_speed,true_wind_angle,true_wind_direction,gust_knots,heading,heel_angle,foil_cant,x_position,y_position,maneuver_type,course_side,sea_state
2026-05-20 01:16:06,Boat-1,Apex Wave Racing,1,Upwind,24.488,16.571,13.801,-47.413,221.093,14.792,0.232,16.346,79.492,34.382,-6.184,none,port,1.895
2026-05-20 01:16:08,Boat-1,Apex Wave Racing,1,Upwind,24.044,16.877,14.121,-45.419,219.568,15.518,0.345,18.355,73.83,34.511,25.852,none,port,2.086
2026-05-20 01:16:10,Boat-1,Apex Wave Racing,1,Upwind,24.208,16.808,12.969,-46.026,220.831,13.629,0.326,15.237,74.717,34.639,36.528,none,port,2.013
2026-05-20 01:16:12,Boat-1,Apex Wave Racing,1,Upwind,23.941,16.23,13.148,-47.318,222.787,15.716,0.349,14.04,77.311,34.76,69.617,none,port,2.07
2026-05-20 01:16:14,Boat-1,Apex Wave Racing,1,Upwind,24.84,15.405,13.683,-51.673,219.629,14.591,0.701,16.955,79.511,34.869,74.274,none,port,2.045
2026-05-20 01:16:16,Boat-1,Apex Wave Racing,1,Upwind,24.772,15.43,14.414,-51.473,219.459,15.928,0.202,15.312,77.327,34.96,85.954,none,port,2.217
2026-05-20 01:16:18,Boat-1,Apex Wave Racing,1,Upwind,23.885,15.847,13.884,-48.435,220.128,16.559,0.131,17.096,77.668,35.029,119.513,none,port,2.43
2026-05-20 01:16:20,Boat-1,Apex Wave Racing,1,Upwind,24.602,16.942,14.079,-46.478,221.104,16.297,0.083,15.358,76.771,35.069,133.827,none,port,1.941
2026-05-20 01:16:22,Boat-1,Apex Wave Racing,1,Upwind,25.143,16.654,13.3,-48.518,219.451,14.382,359.969,15.171,74.879,35.077,152.987,none,port,1.94
2026-05-20 01:16:24,Boat-1,Apex Wave Racing,1,Upwind,24.516,17.538,13.88,-44.324,219.336,14.959,359.784,15.289,75.878,35.047,174.721,none,port,1.899
2026-05-20 01:16:26,Boat-1,Apex Wave Racing,1,Upwind,24.937,16.879,14.228,-47.399,221.356,15.633,359.601,16.471,74.703,34.974,180.304,none,port,2.14
2026-05-20 01:16:28,Boat-1,Apex Wave Racing,1,Upwind,24.95,16.127,13.881,-49.731,220.76,15.864,359.584,15.673,74.537,34.854,202.471,none,port,1.941
